Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Traffic Type
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,57379,166,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,63475,53,74,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,53787,53,74,DNS
2025-10-02 18:06:35,140.82.114.22,10.132.143.86,TCP,443,51627,66,HTTPS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,63475,179,DNS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,53787,219,DNS
2025-10-02 18:06:35,20.189.172.73,10.132.143.86,TCP,443,51638,66,HTTPS
2025-10-02 18:06:35,10.132.143.86,20.189.172.73,TCP,51638,443,54,HTTPS
2025-10-02 18:06:35,10.132.143.86,20.189.172.73,TCP,51638,443,571,HTTPS
2025-10-02 18:06:36,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,875,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51629,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,10.132.143.96,UDP,63475,53,92,DNS
2025-10-02 18:06:36,10.132.143.86,10.132.143.96,UDP,53787,53,92,DNS
2025-10-02 18:06:36,10.132.143.96,10.132.143.86,UDP,53,63475,186,DNS
2025-10-02 18:06:36,10.132.143.96,10.132.143.86,UDP,53,53787,198,DNS
2025-10-02 18:06:36,10.132.143.86,10.132.143.96,UDP,63475,53,98,DNS
2025-10-02 18:06:36,10.132.143.86,10.132.143.96,UDP,53787,53,98,DNS
2025-10-02 18:06:36,10.132.143.86,140.82.114.22,TCP,51646,443,66,HTTPS
2025-10-02 18:06:36,10.132.143.96,10.132.143.86,UDP,53,63475,212,DNS
2025-10-02 18:06:36,10.132.143.96,10.132.143.86,UDP,53,53787,224,DNS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,66,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,153,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,405,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,66,HTTPS
2025-10-02 18:06:36,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,13.89.179.8,10.132.143.86,TCP,443,51631,66,HTTPS
2025-10-02 18:06:36,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,571,HTTPS
2025-10-02 18:06:36,140.82.114.22,10.132.143.86,TCP,443,51646,66,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,1334,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,2614,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,54,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,622,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,54,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,829,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,54,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51649,443,313,HTTPS
2025-10-02 18:06:36,140.82.114.22,10.132.143.86,TCP,443,51634,66,HTTPS
2025-10-02 18:06:36,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.60.225.129,TCP,51598,443,811,HTTPS
2025-10-02 18:06:36,20.207.73.85,10.132.143.86,TCP,443,51624,66,HTTPS
2025-10-02 18:06:36,20.207.73.85,10.132.143.86,TCP,443,51623,66,HTTPS
2025-10-02 18:06:36,20.207.73.85,10.132.143.86,TCP,443,51618,66,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,310,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,66,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,66,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,157,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,403,HTTPS
2025-10-02 18:06:36,20.189.172.73,10.132.143.86,TCP,443,51638,81,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,54,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,78,HTTPS
2025-10-02 18:06:36,10.132.143.86,20.189.172.73,TCP,51638,443,54,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,1334,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,54,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51648,365,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,118,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,866,HTTPS
2025-10-02 18:06:36,10.132.143.86,140.82.114.21,TCP,51648,443,115,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,1334,HTTPS
2025-10-02 18:06:36,140.82.114.21,10.132.143.86,TCP,443,51649,1334,HTTPS
